"Tag","Datum","Wochentag","Plattform","Kategorie","Hook","Caption","CTA","Hashtags","Motiv_Idee","Gepostet"
"1","2026-09-21","Montag","Instagram + TikTok","Pain","Your menu just got rained on. Again.","Laminated pages, faded ink, a corner that never dries. Paper menus take a beating every single service - and guests notice before they've even ordered. A QR menu never gets soggy, torn, or sticky.","See the alternative -> link in bio","#RestaurantTips #MenuDesign #QRMenu #CaféLife #RestaurantOwner #DigitalMenu #HospitalityTech #SmartMenuSolutions","Film a close-up of a worn, curling paper menu on a table, then cut to a phone scanning a clean QR code menu.",""
"2","2026-09-22","Dienstag","Instagram + TikTok","Feature","Change a price. Watch it update everywhere. At once.","No reprint, no relabeling, no waiting for the next batch of menus. Edit a price on the Smart Menu Solutions dashboard and every guest scanning your QR code sees it instantly.","Try it on your own menu","#RestaurantTech #QRMenu #MenuManagement #SmartMenuSolutions #RestaurantOwner #CaféLife #DigitalMenu","Screen-record editing a price in the admin dashboard, then show a phone scanning the QR and displaying the new price live.",""
"3","2026-09-23","Mittwoch","Instagram + TikTok","Demo","Scan. View. Enjoy. That's the whole menu experience.","No app store, no account, no loading screen. A guest scans your table's QR code and your full menu opens right in their browser - in the language they already use.","Watch it happen in real time","#ScanViewEnjoy #QRMenu #RestaurantExperience #Hospitality #SmartMenuSolutions #CaféLife","Time a full scan-to-menu-open in one continuous shot, phone camera to loaded menu, under 3 seconds.",""
"4","2026-09-24","Donnerstag","Instagram + TikTok","Tips","The one menu mistake that's quietly costing you orders.","Long, unphotographed dish descriptions make guests default to what they already know. Shorter names, one clear description line, and a photo where it matters most nudge them toward trying something new.","More menu tips like this","#MenuPsychology #RestaurantTips #RestaurantOwner #Gastronomie #CaféOwner #SmallBusinessTips","Text-on-screen style video listing 3 quick menu-writing tips over a b-roll shot of a menu being read.",""
"5","2026-09-25","Freitag","Instagram + TikTok","Trend","POV: you're a guest who just realized the menu updates instantly.","That small double-take when a guest scans the code expecting a static PDF and gets a full, current, tappable menu instead. Worth capturing on camera every single time.","Give your guests that moment too","#POV #RestaurantLife #QRMenu #GuestExperience #Trending #CaféLife","Film a genuine guest reaction (surprise, smile) the moment they realize the digital menu is fully interactive, not just a PDF.",""
"6","2026-09-26","Samstag","Instagram + TikTok","Offer","Smart Start is built for cafes, kiosks and small teams getting started.","Digital QR menu, up to 50 items, mobile-friendly design, your own unique QR code - a straightforward first step into digital menus, billed once a year.","See what's included -> link in bio","#SmartStart #QRMenu #SmallBusiness #CaféOwner #SmartMenuSolutions #Gastronomie","Simple clean product-style shot: phone showing the Smart Start plan page, pricing card visible.",""
"7","2026-09-27","Sonntag","Instagram + TikTok","Pain","Price went up. 40 menus didn't.","New supplier prices hit and now someone's sitting there with a pen, crossing out numbers on 40 printed menus by hand. With a digital menu you fix the price once and it's live everywhere, instantly.","Update prices in seconds, not hours","#RestaurantOwner #FoodCosts #MenuPricing #RestaurantTech #QRMenu #Gastronomie #SmallBusinessTips","Show a hand crossing out a price with a pen on a paper menu, then cut to editing the same price on a phone/dashboard.",""
"8","2026-09-28","Montag","Instagram + TikTok","Feature","Your menu, in five languages, without hiring a translator.","Smart Menu Solutions plans include multiple languages built in, with more available as an add-on. Guests tap a flag and read your full menu in their own language - no awkward pointing required.","See it in action -> bio link","#MultilingualMenu #Hospitality #QRMenu #TravelTips #RestaurantOwner #SmartMenuSolutions","Film someone tapping through DE / EN / EL / IT / ES flags on the live menu and watching the text switch.",""
"9","2026-09-29","Dienstag","Instagram + TikTok","Demo","Paper menu on the left. Same restaurant on the right.","Same dishes, same prices, two completely different guest experiences. One gets stained and outdated. The other updates the second you change something. Here's the side-by-side.","See which one your restaurant needs","#BeforeAndAfter #QRMenu #RestaurantTransformation #DigitalMenu #Gastronomie","Split-screen: worn paper menu on a table on one side, phone showing the live digital menu on the other.",""
"10","2026-09-30","Mittwoch","Instagram + TikTok","Tips","Where guests actually look first on a menu (it's not the top).","Eye-tracking studies on printed menus consistently find the top-right corner gets the first, longest look. That's prime real estate for your highest-margin dish - on paper or on a screen.","Put your best dish where eyes land","#MenuDesign #RestaurantTips #MenuPsychology #Gastronomie #RestaurantOwner","Simple diagram-style overlay on a menu screenshot showing an eye-tracking heat pattern starting top-right.",""
